query,group,time,value
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-26T00:00:00.000Z,3789.2431640625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-27T00:00:00.000Z,4971.74267578125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-28T00:00:00.000Z,4860.666015625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-01T00:00:00.000Z,4918.515625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-02T00:00:00.000Z,4934.40185546875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-03T00:00:00.000Z,4783.13623046875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-04T00:00:00.000Z,3820.117919921875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-05T00:00:00.000Z,3850.284912109375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-06T00:00:00.000Z,5020.2685546875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-07T00:00:00.000Z,5103.42041015625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-08T00:00:00.000Z,5080.484375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-09T00:00:00.000Z,5087.1591796875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-10T00:00:00.000Z,4887.05712890625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-11T00:00:00.000Z,3886.45849609375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-12T00:00:00.000Z,3917.4287109375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-13T00:00:00.000Z,5108.83447265625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-03-14T00:00:00.000Z,5255.28369140625
